tender_no,source_files,folder_path
GEM/2024/B/5425851,"[""1727931639.pdf""]",tender-documents
GEM/2024/B/5428765,"[""1728539884.pdf""]",tender-documents
GEM/2024/B/5429890,"[""GeM-Bidding-6938674.pdf_1745302320_186245986.pdf""]",tender-documents
GEM/2024/B/5431252,"[""1727499799.pdf""]",tender-documents
GEM/2024/B/5432413,"[""1727933114.pdf""]",tender-documents
GEM/2024/B/5433327,"[""1729486459.pdf""]",tender-documents
GEM/2024/B/5434652,"[""1727505051.pdf""]",tender-documents
GEM/2024/B/5435227,"[""1729163353.pdf""]",tender-documents
GEM/2024/B/5437886,"[""1727518064.pdf""]",tender-documents
GEM/2024/B/5445001,"[""1727931953.pdf""]",tender-documents
GEM/2024/B/5452597,"[""1727934475.pdf""]",tender-documents
GEM/2024/B/5453082,"[""1730094251.pdf""]",tender-documents
GEM/2024/B/5456782,"[""1729321980.pdf""]",tender-documents
GEM/2024/B/5462205,"[""1728375134.pdf""]",tender-documents
GEM/2024/B/5466307,"[""1730700788.pdf""]",tender-documents
GEM/2024/B/5473145,"[""1731047027.pdf""]",tender-documents
GEM/2024/B/5473439,"[""1728537105.pdf""]",tender-documents
GEM/2024/B/5475705,"[""1728536293.pdf""]",tender-documents
GEM/2024/B/5478912,"[""1728539180.pdf""]",tender-documents
GEM/2024/B/5479979,"[""1728646771.pdf""]",tender-documents
GEM/2024/B/5481416,"[""1729159118.pdf""]",tender-documents
GEM/2024/B/5481523,"[""pgcil.pdf_1735286340_1283757086.pdf""]",tender-documents
GEM/2024/B/5484105,"[""1728645685.pdf""]",tender-documents
GEM/2024/B/5484907,"[""1728649639.pdf""]",tender-documents
GEM/2024/B/5485573,"[""1728646175.pdf""]",tender-documents
GEM/2024/B/5486162,"[""1730096386.pdf""]",tender-documents
GEM/2024/B/5486802,"[""1729163658.pdf""]",tender-documents
GEM/2024/B/5492999,"[""1729661967.pdf""]",tender-documents
GEM/2024/B/5494021,"[""1729167224.pdf""]",tender-documents
GEM/2024/B/5494193,"[""1729153186.pdf""]",tender-documents
GEM/2024/B/5498446,"[""1729153677.pdf""]",tender-documents
GEM/2024/B/5501634,"[""BRO.pdf_1731647331_2032120456.pdf""]",tender-documents
GEM/2024/B/5502195,"[""1729932583.pdf""]",tender-documents
GEM/2024/B/5504002,"[""1729167709.pdf""]",tender-documents
GEM/2024/B/5504267,"[""1729932269.pdf""]",tender-documents
GEM/2024/B/5506146,"[""1729162685.pdf""]",tender-documents
GEM/2024/B/5507242,"[""1729498441.pdf""]",tender-documents
GEM/2024/B/5507261,"[""1729162436.pdf""]",tender-documents
GEM/2024/B/5507440,"[""1730975005.pdf""]",tender-documents
GEM/2024/B/5509475,"[""1729931978.pdf""]",tender-documents
GEM/2024/B/5514356,"[""1730365662.pdf""]",tender-documents
GEM/2024/B/5514787,"[""DRDO_UPX.pdf_1732954157_433169445.pdf""]",tender-documents
GEM/2024/B/5519326,"[""1730360322.pdf""]",tender-documents
GEM/2024/B/5519512,"[""1731496199.pdf"", ""1731496199.pdf""]",tender-documents
GEM/2024/B/5528731,"[""1730092422.pdf""]",tender-documents
GEM/2024/B/5531177,"[""1730093532.pdf""]",tender-documents
GEM/2024/B/5535650,"[""1730097565.pdf""]",tender-documents
GEM/2024/B/5535750,"[""1730704651.pdf""]",tender-documents
GEM/2024/B/5537735,"[""MID2.pdf_1732882127_1773748199.pdf""]",tender-documents
GEM/2024/B/5539015,"[""1730707693.pdf""]",tender-documents
GEM/2024/B/5540142,"[""1730874264.pdf""]",tender-documents
GEM/2024/B/5541518,"[""1730363245.pdf""]",tender-documents
GEM/2024/B/5543146,"[""1730706376.pdf""]",tender-documents
GEM/2024/B/5545590,"[""SAIL.pdf_1735892662_947902100.pdf""]",tender-documents
GEM/2024/B/5547767,"[""1730700214.pdf""]",tender-documents
GEM/2024/B/5550743,"[""1731496813.pdf"", ""SAIL7.pdf_1731745873_221742914.pdf""]",tender-documents
GEM/2024/B/5559190,"[""1730709127.pdf""]",tender-documents
GEM/2024/B/5563817,"[""1730709427.pdf""]",tender-documents
GEM/2024/B/5564500,"[""1730709917.pdf""]",tender-documents
GEM/2024/B/5565931,"[""PGCIL_GURGAON2.pdf_1733813078_1255131834.pdf""]",tender-documents
GEM/2024/B/5568492,"[""1730872218.pdf""]",tender-documents
GEM/2024/B/5573565,"[""NTPCL.pdf_1734441937_941594066.pdf""]",tender-documents
GEM/2024/B/5573636,"[""NPCIL.pdf_1735279675_1976302823.pdf""]",tender-documents
GEM/2024/B/5573819,"[""1731048185.pdf""]",tender-documents
GEM/2024/B/5576302,"[""1731047879.pdf""]",tender-documents
GEM/2024/B/5582861,"[""JKSPDS.pdf_1732355526_1790295384.pdf""]",tender-documents
GEM/2024/B/5584427,"[""1731496539.pdf"", ""1731496539.pdf""]",tender-documents
GEM/2024/B/5589793,"[""1731563928.pdf""]",tender-documents
GEM/2024/B/5590450,"[""1731563420.pdf""]",tender-documents
GEM/2024/B/5592361,"[""1731562927.pdf""]",tender-documents
GEM/2024/B/5597077,"[""IA_SOLAR_LIGHT.pdf_1732270578_2091573270.pdf"", ""IA_SP2.pdf_1732270578_1764433926.pdf""]",tender-documents
GEM/2024/B/5599614,"[""1731584525.zip""]",tender-documents
GEM/2024/B/5605153,"[""GAIL_DIBIYAPUR5.pdf_1732880472_544107123.pdf""]",tender-documents
GEM/2024/B/5609139,"[""HPCL.pdf_1735216169_858217708.pdf""]",tender-documents
GEM/2024/B/5610516,"[""PGCIL_VRLA.pdf_1731996365_1631193795.pdf"", ""PGCIL_VRLA2.pdf_1731996365_1927824010.pdf""]",tender-documents
GEM/2024/B/5617677,"[""BHEL_ODISSA2.pdf_1732264478_757888942.pdf""]",tender-documents
GEM/2024/B/5625162,"[""sjvn.pdf_1737524342_2009459761.pdf""]",tender-documents
GEM/2024/B/5626301,"[""BHEL_TRICHY.pdf_1732357987_1003105905.pdf""]",tender-documents
GEM/2024/B/5627621,"[""pgcil.pdf_1738142513_1572873276.pdf""]",tender-documents
GEM/2024/B/5631317,"[""APCPL.pdf_1735204857_1869539482.pdf""]",tender-documents
GEM/2024/B/5635323,"[""GRSBE.pdf_1732880796_1959000784.pdf""]",tender-documents
GEM/2024/B/5635401,"[""GV4.pdf_1732954416_439348188.pdf""]",tender-documents
GEM/2024/B/5636450,"[""PGCIL_GURGaon4.pdf_1732961852_807345027.pdf""]",tender-documents
GEM/2024/B/5636743,"[""GU2.pdf_1732947538_158408762.pdf""]",tender-documents
GEM/2024/B/5639411,"[""GV5.pdf_1732954801_2123193733.pdf""]",tender-documents
GEM/2024/B/5639470,"[""sbi3.pdf_1732859098_22937099.pdf""]",tender-documents
GEM/2024/B/5644269,"[""GV3.pdf_1732947989_1269791287.pdf""]",tender-documents
GEM/2024/B/5655195,"[""BMRC.pdf_1733830518_443134300.pdf""]",tender-documents
GEM/2024/B/5657941,"[""NIACL.pdf_1734097170_492036702.pdf""]",tender-documents
GEM/2024/B/5658771,"[""GAIL.pdf_1735196857_1601036359.pdf""]",tender-documents
GEM/2024/B/5660962,"[""IOCL_GUJARAT.pdf_1733829192_2047747724.pdf""]",tender-documents
GEM/2024/B/5661619,"[""IN.pdf_1736144940_827178477.pdf""]",tender-documents
GEM/2024/B/5661914,"[""GAIL_GUNA.pdf_1733893930_693303593.pdf""]",tender-documents
GEM/2024/B/5664891,"[""NTPC.pdf_1734095027_2038867967.pdf""]",tender-documents
GEM/2024/B/5669166,"[""bpcl.pdf_1733831651_48200989.pdf""]",tender-documents
GEM/2024/B/5669861,"[""IMD.pdf_1734108431_1188806988.pdf""]",tender-documents
GEM/2024/B/5671298,"[""NTPC.pdf_1734096374_927777742.pdf""]",tender-documents
GEM/2024/B/5671517,"[""EIL.pdf_1735906995_1731784458.pdf""]",tender-documents
GEM/2024/B/5676380,"[""NMDC.pdf_1734148329_1575466242.pdf""]",tender-documents
GEM/2024/B/5677737,"[""pgcil.pdf_1738237717_506016471.pdf""]",tender-documents
GEM/2024/B/5678461,"[""IAF.pdf_1734146887_1305036241.pdf""]",tender-documents
GEM/2024/B/5679870,"[""RCIL.pdf_1735818899_172088717.pdf""]",tender-documents
GEM/2024/B/5680743,"[""HPCL.pdf_1734149053_1572666408.pdf""]",tender-documents
GEM/2024/B/5682180,"[""NHPC.pdf_1738045057_1309091626.pdf""]",tender-documents
GEM/2024/B/5685005,"[""DP.pdf_1735201528_1682853842.pdf""]",tender-documents
GEM/2024/B/5686988,"[""HPCL.pdf_1734095415_748050935.pdf""]",tender-documents
GEM/2024/B/5690793,"[""pgcil.pdf_1734439882_1670462893.pdf""]",tender-documents
GEM/2024/B/5692137,"[""IREL.pdf_1734438732_1923680257.pdf""]",tender-documents
GEM/2024/B/5692573,"[""IOCL.pdf_1735211236_350319688.pdf""]",tender-documents
GEM/2024/B/5703120,"[""pgcil.pdf_1735210352_1159630179.pdf""]",tender-documents
GEM/2024/B/5707114,"[""MIL.pdf_1734437887_473018895.pdf""]",tender-documents
GEM/2024/B/5709353,"[""Railtail.pdf_1739364917_1390089581.pdf""]",tender-documents
GEM/2024/B/5710685,"[""DAE.pdf_1735538880_59513823.pdf""]",tender-documents
GEM/2024/B/5715564,"[""IOCL.pdf_1734931474_377878170.pdf""]",tender-documents
GEM/2024/B/5719049,"[""NCL.pdf_1735895252_217349209.pdf""]",tender-documents
GEM/2024/B/5719532,"[""GAIL.pdf_1735199176_1248637858.pdf""]",tender-documents
GEM/2024/B/5720320,"[""DHI.pdf_1735277981_1592308460.pdf""]",tender-documents
GEM/2024/B/5724419,"[""AAI.pdf_1735542543_329489873.pdf""]",tender-documents
GEM/2024/B/5728093,"[""MOP.pdf_1736145564_1091589504.pdf""]",tender-documents
GEM/2024/B/5732887,"[""IAF.pdf_1735206345_1814299138.pdf""]",tender-documents
GEM/2024/B/5736310,"[""pgcil.pdf_1738140169_1676681892.pdf""]",tender-documents
GEM/2024/B/5737269,"[""IOCL.pdf_1735205426_2138303192.pdf""]",tender-documents
GEM/2024/B/5737685,"[""IA.pdf_1738669522_1461970666.pdf""]",tender-documents
GEM/2024/B/5739244,"[""RINL.pdf_1735207661_1947165104.pdf""]",tender-documents
GEM/2024/B/5740923,"[""IAF.pdf_1735539213_1947477167.pdf""]",tender-documents
GEM/2024/B/5742022,"[""PETRONET.pdf_1735538487_1410852236.pdf""]",tender-documents
GEM/2024/B/5746239,"[""HAL.pdf_1735893901_1827504088.pdf""]",tender-documents
GEM/2024/B/5749238,"[""GAIL.pdf_1735199647_1119174476.pdf""]",tender-documents
GEM/2024/B/5756216,"[""DVC.pdf_1736711229_1885833625.pdf""]",tender-documents
GEM/2024/B/5758223,"[""bpcl.pdf_1735535579_1177982465.pdf""]",tender-documents
GEM/2024/B/5758392,"[""RINL.pdf_1735895963_773518730.pdf""]",tender-documents
GEM/2024/B/5762390,"[""RCF.pdf_1738145439_214297181.pdf""]",tender-documents
GEM/2024/B/5764306,"[""IA.pdf_1737533950_1046635146.pdf""]",tender-documents
GEM/2024/B/5767165,"[""IOCL.pdf_1739787088_1791763189.pdf""]",tender-documents
GEM/2024/B/5768320,"[""IA.pdf_1735893228_38168827.pdf""]",tender-documents
GEM/2024/B/5769893,"[""rcfl.pdf_1735892187_1723298811.pdf""]",tender-documents
GEM/2025/B/5771677,,tender-documents
GEM/2025/B/5781788,"[""HPCL.pdf_1736764186_852891780.pdf""]",tender-documents
GEM/2025/B/5781947,"[""BHEL.pdf_1736702481_1318146713.pdf""]",tender-documents
GEM/2025/B/5783818,"[""SAIL.pdf_1738045955_878809430.pdf""]",tender-documents
GEM/2025/B/5792451,"[""NMDC.pdf_1737627236_464428584.pdf""]",tender-documents
GEM/2025/B/5793816,"[""IOCL.pdf_1737966132_467526889.pdf""]",tender-documents
GEM/2025/B/5794649,"[""DVC.pdf_1737098165_752910284.pdf""]",tender-documents
GEM/2025/B/5796721,"[""sjvn.pdf_1736756752_912329872.pdf""]",tender-documents
GEM/2025/B/5806802,"[""pdil.pdf_1736767857_840168781.pdf""]",tender-documents
GEM/2025/B/5809561,"[""hqids.pdf_1740131397_1524079266.pdf""]",tender-documents
GEM/2025/B/5825900,"[""EIL.pdf_1738047281_374125105.pdf""]",tender-documents
GEM/2025/B/5834197,"[""GAIL.pdf_1739444944_1917258043.pdf""]",tender-documents
GEM/2025/B/5835246,"[""pgcil.pdf_1737967383_742079208.pdf""]",tender-documents
GEM/2025/B/5854592,"[""IOCL.pdf_1738139516_928788106.pdf""]",tender-documents
GEM/2025/B/5867617,"[""IA.pdf_1738044898_875150159.pdf""]",tender-documents
GEM/2025/B/5881728,"[""GAIL_VIJAIPUR.pdf_1739451026_691223215.pdf""]",tender-documents
GEM/2025/B/5890830,"[""bsf.pdf_1741175106_1422088641.pdf""]",tender-documents
GEM/2025/B/5891991,"[""GAIL.pdf_1739364736_1899010698.pdf""]",tender-documents
GEM/2025/B/5923363,"[""pgcil.pdf_1742387306_1911423467.pdf""]",tender-documents
GEM/2025/B/5926782,"[""GAIL_Dibiyapur.pdf_1739443745_43514722.pdf""]",tender-documents
GEM/2025/B/5934587,"[""IOCL.pdf_1742552686_114364371.pdf""]",tender-documents
GEM/2025/B/5934656,"[""BHEL.pdf_1739364577_531106279.pdf""]",tender-documents
GEM/2025/B/5950154,"[""IAF.pdf_1739787401_687931458.pdf""]",tender-documents
GEM/2025/B/5962340,"[""GAIL.pdf_1740483768_690490162.pdf""]",tender-documents
GEM/2025/B/5963385,"[""pgcil.pdf_1740460556_1250853755.pdf""]",tender-documents
GEM/2025/B/5966276,"[""SECL.pdf_1743571917_1762792776.pdf""]",tender-documents
GEM/2025/B/5973605,"[""AIIMS.pdf_1740135948_1646996164.pdf""]",tender-documents
GEM/2025/B/5983952,"[""pgcil.pdf_1742811643_311531048.pdf""]",tender-documents
GEM/2025/B/5989236,"[""AAI.pdf_1740831412_568660591.pdf""]",tender-documents
GEM/2025/B/5991306,"[""AAI.pdf_1741176132_727499606.pdf""]",tender-documents
GEM/2025/B/5998028,"[""AWEIL.pdf_1740831115_1671814866.pdf""]",tender-documents
GEM/2025/B/5999316,"[""ALISH.pdf_1741175480_1243623741.pdf""]",tender-documents
GEM/2025/B/6007737,"[""GAIL.pdf_1742625482_1766467994.pdf""]",tender-documents
GEM/2025/B/6012033,"[""bpcl.pdf_1741176470_1972518946.pdf""]",tender-documents
GEM/2025/B/6019666,"[""GAIL.pdf_1741681257_1456383019.pdf""]",tender-documents
GEM/2025/B/6021335,"[""GeM-Bidding-7603736.pdf_1743745524_1681840732.pdf""]",tender-documents
GEM/2025/B/6021431,"[""pgcil.pdf_1742303724_826896916.pdf""]",tender-documents
GEM/2025/B/6023862,"[""GeM-Bidding-7606559.pdf_1748927889_345194276.pdf""]",tender-documents
GEM/2025/B/6032673,"[""GeM-Bidding-7616593.pdf_1745655121_216723236.pdf""]",tender-documents
GEM/2025/B/6043151,"[""pgcil.pdf_1742388001_1922645682.pdf""]",tender-documents
GEM/2025/B/6049908,"[""pgcil.pdf_1742626363_1640698221.pdf""]",tender-documents
GEM/2025/B/6053925,"[""GeM-Bidding-7641085.pdf_1750409965_2005407.pdf""]",tender-documents
GEM/2025/B/6055186,"[""GeM-Bidding-7642523.pdf_1748501565_394436405.pdf""]",tender-documents
GEM/2025/B/6055352,"[""pgcil.pdf_1743836840_879049051.pdf""]",tender-documents
GEM/2025/B/6061157,"[""GeM-Bidding-7649767.pdf_1743149123_674135610.pdf""]",tender-documents
GEM/2025/B/6064063,"[""GeM-Bidding-7653287.pdf_1743166414_1774917685.pdf""]",tender-documents
GEM/2025/B/6069369,"[""GeM-Bidding-7659362.pdf_1743072326_573693796.pdf""]",tender-documents
GEM/2025/B/6074272,"[""pgcil.pdf_1743069919_45214332.pdf""]",tender-documents
GEM/2025/B/6074692,"[""GeM-Bidding-7665503.pdf_1743749423_586699114.pdf""]",tender-documents
GEM/2025/B/6083250,"[""pgcil.pdf_1742883729_1797936098.pdf""]",tender-documents
GEM/2025/B/6084297,"[""GeM-Bidding-7677154_(1).pdf_1745301550_270683727.pdf""]",tender-documents
GEM/2025/B/6086275,"[""GeM-Bidding-7679475.pdf_1744797664_874942398.pdf""]",tender-documents
GEM/2025/B/6086504,"[""IOCL.pdf_1743577244_805706527.pdf""]",tender-documents
GEM/2025/B/6090398,"[""GeM-Bidding-7684159.pdf_1743069439_921405172.pdf""]",tender-documents
GEM/2025/B/6090978,"[""GeM-Bidding-7684831.pdf_1745654964_833927949.pdf""]",tender-documents
GEM/2025/B/6092599,"[""GeM-Bidding-7686721.pdf_1747043817_1309266567.pdf""]",tender-documents
GEM/2025/B/6093029,"[""GeM-Bidding-7687204_(1).pdf_1745845338_540822722.pdf""]",tender-documents
GEM/2025/B/6094394,"[""GeM-Bidding-7688745_(1).pdf_1747117759_904845808.pdf""]",tender-documents
GEM/2025/B/6095199,"[""GeM-Bidding-7689709.pdf_1745300737_451363115.pdf""]",tender-documents
GEM/2025/B/6095513,"[""GeM-Bidding-7690057.pdf_1750231034_1096090194.pdf""]",tender-documents
GEM/2025/B/6097324,"[""GeM-Bidding-7692115.pdf_1744797939_1003356388.pdf""]",tender-documents
GEM/2025/B/6099091,"[""GeM-Bidding-7694159_(3).pdf_1745301880_951675244.pdf""]",tender-documents
GEM/2025/B/6101550,"[""prbidRAsGEMNEW_05052025_185029817333.pdf_1746601316_2008109630.pdf""]",tender-documents
GEM/2025/B/6103122,"[""GeM-Bidding-7698862.pdf_1746264303_813158019.pdf""]",tender-documents
GEM/2025/B/6107078,"[""GeM-Bidding-7703245.pdf_1748259283_458955057.pdf""]",tender-documents
GEM/2025/B/6108114,"[""GeM-Bidding-7704412.pdf_1750227680_528991563.pdf""]",tender-documents
GEM/2025/B/6118342,"[""GeM-Bidding-7715710.pdf_1745299982_243924811.pdf""]",tender-documents
GEM/2025/B/6118523,"[""GeM-Bidding-7715915.pdf_1751351344_603448080.pdf""]",tender-documents
GEM/2025/B/6124596,"[""GeM-Bidding-7722610_(2).pdf_1744441291_1427531405.pdf""]",tender-documents
GEM/2025/B/6128603,"[""GeM-Bidding-7726905.pdf_1755684884_457936518.pdf""]",tender-documents
GEM/2025/B/6130101,"[""GeM-Bidding-7728511_(2).pdf_1744441653_454158949.pdf""]",tender-documents
GEM/2025/B/6137139,"[""GeM-Bidding-7736282_(1).pdf_1745389595_503255724.pdf""]",tender-documents
GEM/2025/B/6137154,"[""GeM-Bidding-7736298_(2).pdf_1745999862_923093372.pdf""]",tender-documents
GEM/2025/B/6139114,"[""GeM-Bidding-7738573.pdf_1751091512_1675172716.pdf""]",tender-documents
GEM/2025/B/6139512,"[""GeM-Bidding-7739022_(1).pdf_1745654678_2117245103.pdf""]",tender-documents
GEM/2025/B/6147291,"[""GeM-Bidding-7747584.pdf_1746189248_17620609.pdf""]",tender-documents
GEM/2025/B/6147614,"[""GAIL.pdf_1745039956_490128122.pdf""]",tender-documents
GEM/2025/B/6149885,"[""GeM-Bidding-7750414_(1).pdf_1748679257_422125375.pdf""]",tender-documents
GEM/2025/B/6151545,"[""GeM-Bidding-7752295_(1).pdf_1746684721_899443829.pdf""]",tender-documents
GEM/2025/B/6153155,"[""GeM-Bidding-7754124.pdf_1746860732_1607860002.pdf""]",tender-documents
GEM/2025/B/6157341,"[""GeM-Bidding-7758890_(1).pdf_1746520010_880085959.pdf""]",tender-documents
GEM/2025/B/6157576,"[""GeM-Bidding-7759152.pdf_1750418359_581718313.pdf""]",tender-documents
GEM/2025/B/6159815,"[""GeM-Bidding-7761574.pdf_1745655637_550522187.pdf""]",tender-documents
GEM/2025/B/6162428,"[""prbidRAsGEMNEW_06052025_205753065543.pdf_1746682786_1450030692.pdf""]",tender-documents
GEM/2025/B/6164150,"[""GeM-Bidding-7766313.pdf_1746792186_1748580193.pdf""]",tender-documents
GEM/2025/B/6166323,"[""GeM-Bidding-7768729.pdf_1748677583_1134023783.pdf""]",tender-documents
GEM/2025/B/6166622,"[""GeM-Bidding-7769075.pdf_1746099844_1355466037.pdf""]",tender-documents
GEM/2025/B/6167820,"[""prbidRAsGEMNEW_06052025_200022479005.pdf_1746683466_1142175324.pdf""]",tender-documents
GEM/2025/B/6169023,"[""GeM-Bidding-7771730.pdf_1745655322_1368714793.pdf""]",tender-documents
GEM/2025/B/6169659,"[""GeM-Bidding-7772442.pdf_1746615725_228952694.pdf""]",tender-documents
GEM/2025/B/6177064,"[""GeM-Bidding-7780754.pdf_1746684985_729434618.pdf""]",tender-documents
GEM/2025/B/6178214,"[""GeM-Bidding-6178214.pdf_1746770200_687493445.pdf""]",tender-documents
GEM/2025/B/6178777,"[""GeM-Bidding-7782677.pdf_1746769200_493607413.pdf""]",tender-documents
GEM/2025/B/6182114,"[""GeM-Bidding-7786347.pdf_1746791602_1209411969.pdf""]",tender-documents
GEM/2025/B/6182161,"[""GeM-Bidding-7786399.pdf_1746859518_254966950.pdf""]",tender-documents
GEM/2025/B/6184349,"[""GeM-Bidding-7788764.pdf_1749634860_631438446.pdf""]",tender-documents
GEM/2025/B/6184353,"[""GeM-Bidding-7788768.pdf_1748696047_1134579618.pdf""]",tender-documents
GEM/2025/B/6184354,"[""GeM-Bidding-7788769.pdf_1749634252_789641814.pdf""]",tender-documents
GEM/2025/B/6185603,"[""GeM-Bidding-7790131.pdf_1746685177_1214764230.pdf""]",tender-documents
GEM/2025/B/6186248,"[""prbidRAsGEMNEW_05052025_225908085487.pdf_1746599464_572871035.pdf""]",tender-documents
GEM/2025/B/6188119,"[""GeM-Bidding-7792921.pdf_1746602797_56623679.pdf""]",tender-documents
GEM/2025/B/6194418,"[""GeM-Bidding-7799883.pdf_1746770836_312948010.pdf""]",tender-documents
GEM/2025/B/6199769,"[""prbidRAsGEMNEW_06052025_210153339884.pdf_1746683646_878754849.pdf""]",tender-documents
GEM/2025/B/6200855,"[""prcusbidrasGEMNEW_05052025_200111958830.pdf_1746601175_1784999784.pdf""]",tender-documents
GEM/2025/B/6200933,"[""GeM-Bidding-7807127_(1).pdf_1746603068_415404743.pdf""]",tender-documents
GEM/2025/B/6201196,"[""GeM-Bidding-7807423.pdf_1746858785_163427406.pdf""]",tender-documents
GEM/2025/B/6201270,"[""BOQGEMNEW_05052025_181640714873.pdf_1746599301_953682744.pdf""]",tender-documents
GEM/2025/B/6202461,"[""GeM-Bidding-7808841_(1).pdf_1747043295_2107122983.pdf""]",tender-documents
GEM/2025/B/6205310,"[""84095689_TD_774_BQNa.pdf_1748326534_1182297907.pdf""]",tender-documents
GEM/2025/B/6206799,"[""GeM-Bidding-7813566.pdf_1746860317_967318703.pdf""]",tender-documents
GEM/2025/B/6207068,"[""GeM-Bidding-7813857.pdf_1746859208_204567539.pdf""]",tender-documents
GEM/2025/B/6207818,"[""GEMMISSM_10052025_131831037031.pdf_1747114648_25043609.pdf""]",tender-documents
GEM/2025/B/6208222,"[""GeM-Bidding-7815074.pdf_1748840731_499493833.pdf""]",tender-documents
GEM/2025/B/6212257,"[""GeM-Bidding-7819494.pdf_1747311156_942301494.pdf""]",tender-documents
GEM/2025/B/6213639,"[""GeM-Bidding-7821016.pdf_1746788688_1293973217.pdf""]",tender-documents
GEM/2025/B/6214026,"[""84082991_TD_755_W5zE.pdf_1748325366_903568088.pdf""]",tender-documents
GEM/2025/B/6214734,"[""GeM-Bidding-7822240.pdf_1751871107_1407219273.pdf""]",tender-documents
GEM/2025/B/6217906,"[""GeM-Bidding-7825738_(1).pdf_1747211881_747223863.pdf""]",tender-documents
GEM/2025/B/6218782,"[""GeM-Bidding-7826702.pdf_1747030959_813532227.pdf""]",tender-documents
GEM/2025/B/6218899,"[""GeM-Bidding-7826831.pdf_1747311578_1756701194.pdf""]",tender-documents
GEM/2025/B/6219187,"[""GeM-Bidding-7827150_(1).pdf_1747311359_404750592.pdf""]",tender-documents
GEM/2025/B/6221288,"[""GeM-Bidding-7829512.pdf_1747310940_994994839.pdf""]",tender-documents
GEM/2025/B/6221337,"[""GeM-Bidding-7829563.pdf_1747118527_1852399473.pdf""]",tender-documents
GEM/2025/B/6221753,"[""GeM-Bidding-7830044.pdf_1747118727_469551942.pdf""]",tender-documents
GEM/2025/B/6222831,"[""GeM-Bidding-7831317.pdf_1751435657_130596633.pdf""]",tender-documents
GEM/2025/B/6224186,"[""12052025_180930068643.pdf_1747217781_311544388.pdf""]",tender-documents
GEM/2025/B/6227645,"[""GeM-Bidding-7836691_published_(1).pdf_1748323832_225408067.pdf_1748669857_411980324.pdf""]",tender-documents
GEM/2025/B/6232822,"[""GeM-Bidding-7842378.pdf_1748841957_82958791.pdf""]",tender-documents
GEM/2025/B/6233455,"[""88449328_(4).pdf_1761204164_1788919601.pdf"", ""88449328_(2).pdf_1761204164_881136405.pdf"", ""88449328.pdf_1761204164_1256908681.pdf""]",tender-documents
GEM/2025/B/6233845,"[""GeM-Bidding-7843504_(1).pdf_1749125312_1737844579.pdf""]",tender-documents
GEM/2025/B/6235908,"[""GeM-Bidding-7845722.pdf_1748676994_2077674245.pdf""]",tender-documents
GEM/2025/B/6237900,"[""GeM-Bidding-7847903.pdf_1750419606_1848552421.pdf""]",tender-documents
GEM/2025/B/6240424,"[""GeM-Bidding-7850673_(2).pdf_1749879005_750609084.pdf""]",tender-documents
GEM/2025/B/6243054,"[""GeM-Bidding-7853590_(1).pdf_1750225558_1532750885.pdf""]",tender-documents
GEM/2025/B/6244124,"[""84071597_TD_244_MGf5.pdf_1748328536_1409984759.pdf""]",tender-documents
GEM/2025/B/6246461,"[""GeM-Bidding-7857416.pdf_1749122945_50435006.pdf""]",tender-documents
GEM/2025/B/6250162,"[""GeM-Bidding-7861618.pdf_1748242026_990741907.pdf""]",tender-documents
GEM/2025/B/6252705,"[""GeM-Bidding-7864477.pdf_1748673386_1001081836.pdf""]",tender-documents
GEM/2025/B/6253005,"[""GeM-Bidding-7864799.pdf_1749534228_2131899417.pdf""]",tender-documents
GEM/2025/B/6254284,"[""GeM-Bidding-7866165.pdf_1748692435_1325638198.pdf""]",tender-documents
GEM/2025/B/6259116,"[""GeM-Bidding-7871432.pdf_1749101298_485038838.pdf""]",tender-documents
GEM/2025/B/6259369,"[""84036096_TD_898_EQUU.pdf_1748240962_566311895.pdf""]",tender-documents
GEM/2025/B/6259606,"[""84036799_TD_891_ZSzS.pdf_1748241175_1774545391.pdf""]",tender-documents
GEM/2025/B/6259806,"[""GeM-Bidding-7872188.pdf_1749619608_1613343132.pdf""]",tender-documents
GEM/2025/B/6260932,"[""84076227_TD_222_D9Kt.pdf_1748328921_1463955852.pdf""]",tender-documents
GEM/2025/B/6260954,"[""GeM-Bidding-7873474.pdf_1748236543_1453560167.pdf""]",tender-documents
GEM/2025/B/6261083,"[""GeM-Bidding-7873612.pdf_1748689331_1881855309.pdf""]",tender-documents
GEM/2025/B/6262585,"[""GeM-Bidding-7875280.pdf_1752650440_1699398088.pdf""]",tender-documents
GEM/2025/B/6263705,"[""GeM-Bidding-7876499.pdf_1748691368_85813321.pdf""]",tender-documents
GEM/2025/B/6264358,"[""GeM-Bidding-7877212.pdf_1749622057_494722166.pdf""]",tender-documents
GEM/2025/B/6264910,"[""GeM-Bidding-7877848.pdf_1749100691_234563733.pdf""]",tender-documents
GEM/2025/B/6265303,"[""84137526_TD_782_DM63.pdf_1748500928_737725790.pdf""]",tender-documents
GEM/2025/B/6265502,"[""GeM-Bidding-7878506.pdf_1750759251_1822847650.pdf""]",tender-documents
GEM/2025/B/6265513,"[""GeM-Bidding-7878517.pdf_1752217279_32385891.pdf""]",tender-documents
GEM/2025/B/6266158,"[""84069945_TD_970_By0A.pdf_1748327385_227297641.pdf""]",tender-documents
GEM/2025/B/6267315,"[""84079473_TD_997_Cjcf.pdf_1748326881_245677057.pdf""]",tender-documents
